Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curv,vel_crucero,curv_pred,control
L,0.07778143882751465,-4.0,10,0.0,0.2868841963091038,0.016611437535921446,0,-0.8247322047315209,-236.41776046435766,0,15.0,0.0,0
L,0.07868456840515137,-4.0,10,30,1.4325619604100668,0.12159174525978311,0,87.98605103555164,-304.8519850731336,0,15.0,0.0,0
L,0.07781195640563965,1.5999999999999996,10,30,0.6959410064930971,0.22572955379958085,0,92.4761200582136,-592.4157487608805,0,15.0,0.0,0
L,0.07614898681640625,1.5999999999999996,10,30,3.313166674977597,0.08775076955740846,0,86.65661837179884,-157.51068660156437,0,15.0,0.0,0
L,0.07635951042175293,1.5999999999999996,10,30,5.86930444300127,-0.06814999340757884,0,80.83081316659663,191.4909707509141,0,15.0,0.0,0
L,0.07594776153564453,1.5999999999999996,10,30,7.175264988828709,-0.08305450136485906,0,78.64641906085701,138.9598371393174,0,15.0,0.0,0
L,0.07629561424255371,-4.0,10,30,6.3100571113867865,-0.07675301418667037,0,83.04948143724054,135.97810244916653,0,15.0,0.0,0
L,0.07882571220397949,-4.0,10,30,6.182397767804723,-0.01942652779549344,0,85.30989892693063,-10.463763907441262,0,15.0,0.0,0
L,0.07945942878723145,-4.0,10,30,6.150891332778377,-0.0025762841622264396,0,87.29945478379169,-12.331343299037385,0,15.0,0.0,0
L,0.0808870792388916,-4.0,10,30,5.7439127546653435,-0.0013458432798843791,0,90.48239456916966,-2.4914008870788082,0,15.0,0.0,0
L,0.07882046699523926,-4.0,10,30,3.617561194644334,-0.0027979645083330536,0,98.94092539634414,3.423356521599973,0,15.0,0.0,0
L,0.07592916488647461,-4.0,10,30,2.136141583667717,-0.003474455914363352,0,105.50086372934109,5.392677194096714,0,15.0,0.0,0
L,0.07617998123168945,-4.0,10,30,2.760401280060872,-0.0033499466642621283,0,105.70319675940533,5.659418680284078,0,15.0,0.0,0
L,0.07663393020629883,-4.0,10,30,3.4760333533875842,-0.002394856238279113,0,105.58893634821587,3.925393603844186,0,15.0,0.0,0
L,0.0785055160522461,-4.0,10,30,3.7955170277431334,-0.0019254939076243946,0,106.68768178376854,4.055955762218601,0,15.0,0.0,0
L,0.0787966251373291,-4.0,10,30,4.152352416358493,-0.002948893405660058,0,107.65388301525246,8.28638221810791,0,15.0,0.0,0
L,0.07723069190979004,-4.0,10,30,4.098219380670159,-0.002259912116925757,0,109.8166945612439,6.3792887796548445,0,15.0,0.0,0
L,0.07614278793334961,-4.0,10,30,4.096008422483587,-0.0009120745739325136,0,111.79572957311771,3.469307297109051,0,15.0,0.0,0
L,0.07636618614196777,-4.0,10,30,4.057667346143896,-0.0008552151115492482,0,113.89186980653801,4.6668942300775,0,15.0,0.0,0
L,0.07654476165771484,-4.0,10,30,4.260193075209355,-0.0004918377463974982,0,115.25454000551534,3.8693923214793893,0,15.0,0.0,0
L,0.07726168632507324,-4.0,10,30,4.631523413065603,-4.027461657230421e-06,0,116.10056027255129,2.8011827362320356,0,15.0,0.0,0
L,0.07924389839172363,-4.0,10,30,4.934448134480829,0.0010427081008672905,0,117.1780781534693,-0.07783327146132113,0,15.0,0.0,0
L,0.08145403861999512,-4.0,10,30,5.152068591520727,0.0006986803515779532,0,118.54918114692285,1.4000827901918909,0,15.0,0.0,0
L,0.07987642288208008,-4.0,10,30,5.1961178111534325,0.0020392186119078263,0,120.39827887085833,-3.274352460762281,0,15.0,0.0,0
L,0.07921910285949707,-4.0,10,30,5.614631866865294,0.0022576574681786627,0,121.07452369012825,-3.674538287830378,0,15.0,0.0,0
L,0.07879519462585449,-4.0,10,30,5.498459511608296,0.0020590981837650167,0,123.35364440731533,-3.690890838713505,0,15.0,0.0,0
L,0.08058881759643555,-4.0,10,30,5.385873778656467,0.0025128593633552414,0,125.67502493451832,-5.9987316820668495,0,15.0,0.0,0
L,0.08864784240722656,-4.0,10,30,5.457466835154964,0.001324479721558711,0,127.63588837729412,-3.0081558235334254,0,15.0,0.0,0
L,0.08245110511779785,-4.0,10,30,6.0573861021787785,0.0018463978143943216,0,127.81022555150679,-5.921200269346075,0,15.0,0.0,0
L,0.08067846298217773,-4.0,10,30,6.37288927008326,0.0020546618308203337,0,128.76991502619273,-6.858762195171167,0,15.0,0.0,0
L,0.0792551040649414,-4.0,10,30,6.520588546438892,0.0002894130305086765,0,130.1876803952614,-1.9402187941290965,0,15.0,0.0,0
L,0.07726025581359863,-4.0,10,30,6.481264953796606,-0.0017291287861556305,0,132.12271465927017,2.9292444888409177,0,15.0,0.0,0
L,0.07742905616760254,-4.0,10,30,6.629335588772271,-0.002780369820713037,0,133.48807124171435,5.247511277787747,0,15.0,0.0,0
L,0.0778048038482666,-4.0,10,30,6.44859131505023,-0.003402304920345691,0,135.86271679596337,7.347604105222062,0,15.0,0.0,0
L,0.0798349380493164,-4.0,10,30,6.186247063545724,-0.0034543481484211975,0,138.5509190408804,8.252191349626985,0,15.0,0.0,0
L,0.07804369926452637,-4.0,10,30,6.475711041704366,-0.004671472874535668,0,139.51844963927752,13.223658840241454,0,15.0,0.0,0
L,0.07745742797851562,-4.0,10,30,6.859069891862689,-0.004851598893215476,0,140.16081001600946,14.478780046184632,0,15.0,0.0,0
L,0.0759124755859375,-4.0,10,30,7.139454607530304,-0.0031488570477351176,0,141.05505646299366,10.66361643609542,0,15.0,0.0,0
L,0.07601785659790039,-4.0,10,30,7.516303872850342,-0.0027604516076106668,0,141.633671055018,11.870357749776307,0,15.0,0.0,0
L,0.07588982582092285,-4.0,10,30,7.8576290607219725,-0.0012985280680068963,0,142.29007616524717,8.540701608196859,0,15.0,0.0,0
L,0.07607889175415039,-4.0,10,30,9.280503827172794,-0.0027608646258169257,0,139.59776817242778,14.719675355038916,0,15.0,0.0,0
L,0.07888936996459961,-4.0,10,30,10.688956053693175,-0.0064301307181681856,0,136.89584758314948,25.978331200002668,0,15.0,0.0,0
L,0.07841873168945312,-4.0,10,30,8.547068893766081,-0.011413975771394799,0,145.00382071130284,40.99639771987118,0,15.0,0.0,0
L,0.07702207565307617,-4.0,10,30,6.806318014047364,-0.015149875289554556,0,152.01249887905442,52.81613365994502,0,15.0,0.0,0
L,0.07593584060668945,-4.0,10,30,6.24959952578979,-0.016240967521333513,0,155.4861609685818,58.499900200374675,0,15.0,0.0,0
L,0.07582426071166992,-4.0,10,30,6.555857392430166,-0.014475956600036803,0,156.34502214989863,57.650431883317744,0,15.0,0.0,0
L,0.07677745819091797,-4.0,10,30,7.606525376278449,-0.009867968056203621,0,154.91233226002595,49.63943481514769,0,15.0,0.0,0
L,0.0763401985168457,-4.0,10,30,8.406286892760006,-0.003916523833386193,0,154.16151605590377,38.005470899521235,0,15.0,0.0,0
L,0.08037877082824707,-4.0,10,30,9.287145791989342,0.0012148362249977823,0,153.18381311980036,28.15052492779126,0,15.0,0.0,0
L,0.0846407413482666,-4.0,10,30,9.97350797478777,0.0038440548613585205,0,152.81978370302417,23.394539276776648,0,15.0,0.0,0
L,0.0828864574432373,-4.0,10,30,11.167727108146343,0.010100168867704437,0,150.79806668855852,4.4501680775980565,0,15.0,0.0,0
L,0.08089780807495117,-4.0,10,30,10.640386439806555,0.01335529654128008,0,153.94623899577564,-4.80751559833195,0,15.0,0.0,0
L,0.07762813568115234,-4.0,10,30,10.220625043349019,0.013929207317256938,0,156.74095918797155,-8.850512970513929,0,15.0,0.0,0
L,0.07695770263671875,-4.0,10,30,10.087998190326354,0.013613679457555357,0,158.6712216612102,-12.244420370266855,0,15.0,0.0,0
L,0.07849669456481934,-4.0,10,30,10.092508136389775,0.013506461067922073,0,160.22036413138937,-16.96498724666826,0,15.0,0.0,0
L,0.08011651039123535,-4.0,10,30,10.292389730521109,0.012155075766677549,0,161.1996243119365,-17.71430557461805,0,15.0,0.0,0
L,0.07882833480834961,-4.0,10,30,10.12950636950076,0.05985312475032299,0,163.25463231970974,-171.6592750825346,0,15.0,0.0,0
